raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
1,Binance CEX,binance-cex,,CEX,72260077297,drop,category CEX is not a DeFi protocol with its own contracts,,,1668170565
2,Lido,lido,,Liquid Staking,26700881349,keep,,lidofinance,https://github.com/lidofinance/audits,
3,Aave V3,aave-v3,parent#aave,Lending,15729044884,keep,,,https://aave.com/security,1648776877
4,OKX,okx,,CEX,14310188545,drop,category CEX is not a DeFi protocol with its own contracts,,,1668185769
5,SSV Network,ssv-network,,Staking Pool,14292805692,review,borderline category: Staking Pool,,,
6,Binance staked ETH,binance-staked-eth,,Liquid Staking,9603998778,keep,,,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-wBETH-v1.0.pdf,1682803395
7,EigenCloud,eigencloud,,Restaking,7172291910,review,borderline category: Restaking,Layr-Labs,https://docs.eigencloud.xyz/eigenlayer/security/audits,1686776222
8,Bitfinex,bitfinex,,CEX,7122270099,drop,category CEX is not a DeFi protocol with its own contracts,,,1668201923
9,LayerZero V2,layerzero-v2,parent#layerzero,Bridge,7061672711,drop,category Bridge is not a DeFi protocol with its own contracts,,,
10,SparkLend,sparklend,parent#spark,Lending,5807420889,drop,fork of Aave V3,,https://devs.spark.fi/security/security-and-audits,1683144119
11,Sky Lending,sky-lending,parent#maker,CDP,5687021760,keep,,,https://security.makerdao.com/,
12,Bybit,bybit,,CEX,5321482053,drop,category CEX is not a DeFi protocol with its own contracts,,,1668595021
13,ether.fi Stake,ether.fi-stake,parent#ether-fi,Liquid Staking,5096978592,keep,,,,1677778460
14,Morpho Blue,morpho-blue,parent#morpho,Lending,5093100665,keep,,,https://docs.morpho.org/morpho-blue/concepts/security/audits/,1705261273
15,Ethena USDe,ethena-usde,parent#ethena,Basis Trading,4882092473,review,borderline category: Basis Trading,,https://ethena-labs.gitbook.io/ethena-labs/resources/audits#quantstamp-audit-on-v2-of-contracts,1708016301
16,Robinhood,robinhood,,CEX,3691842852,drop,category CEX is not a DeFi protocol with its own contracts,robinhood,,
17,Gate,gate,,CEX,3520754146,drop,category CEX is not a DeFi protocol with its own contracts,,,1669634683
18,Arbitrum Bridge,arbitrum-bridge,parent#arbitrum-foundation,Canonical Bridge,3519989080,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,
