# role: core | periphery | governance | deploy ; subpath restricts code probes in a monorepo
protocol_id,repo_id,url,role,subpath,include
uniswap-v4,uniswap-v4,https://github.com/Uniswap/v4-core,core,,1
aave-v3,aave-v3,https://github.com/aave-dao/aave-v3-origin,core,,1
morpho-blue,morpho-blue,https://github.com/morpho-org/morpho-blue,core,,1
compound-comet,compound-comet,https://github.com/compound-finance/comet,core,,1
lido-core,lido-core,https://github.com/lidofinance/core,core,,1
curve,curve,https://github.com/curvefi/curve-contract,core,,1
rocket-pool,rocket-pool,https://github.com/rocket-pool/rocketpool,core,,1
liquity-v1,liquity-v1,https://github.com/liquity/dev,core,,1
liquity-v2,liquity-v2,https://github.com/liquity/bold,core,,1
pendle-v2,pendle-v2,https://github.com/pendle-finance/pendle-core-v2-public,core,,1
eigenlayer,eigenlayer,https://github.com/Layr-Labs/eigenlayer-contracts,core,,1
ether-fi,ether-fi,https://github.com/etherfi-protocol/smart-contracts,core,,1
stakewise-v3,stakewise-v3,https://github.com/stakewise/v3-core,core,,1
symbiotic,symbiotic,https://github.com/symbioticfi/core,core,,1
nexus-mutual,nexus-mutual,https://github.com/NexusMutual/smart-contracts,core,,1
sky-lending,sky-lending,https://github.com/makerdao/dss,core,,1
maple-v2,maple-v2,https://github.com/maple-labs/maple-core-v2,core,,1
fluid,fluid,https://github.com/Instadapp/fluid-contracts-public,core,,1
balancer-v3,balancer-v3,https://github.com/balancer/balancer-v3-monorepo,core,,1
euler-v2,euler-v2,https://github.com/euler-xyz/euler-vault-kit,core,,1
uniswap-v3,uniswap-v3,https://github.com/Uniswap/v3-core,core,,1
uniswap-v2,uniswap-v2,https://github.com/Uniswap/v2-core,core,,1
aave-v2,aave-v2,https://github.com/aave/protocol-v2,core,,1
compound-v2,compound-v2,https://github.com/compound-finance/compound-protocol,core,,1
balancer-v2,balancer-v2,https://github.com/balancer/balancer-v2-monorepo,core,,1
bancor-v3,bancor-v3,https://github.com/bancorprotocol/contracts-v3,core,,1
convex,convex,https://github.com/convex-eth/platform,core,,1
yearn-v3,yearn-v3,https://github.com/yearn/yearn-vaults-v3,core,,1
enzyme,enzyme,https://github.com/enzymefinance/protocol,core,,1
set-protocol-v2,set-protocol-v2,https://github.com/SetProtocol/set-protocol-v2,core,,1
reserve,reserve,https://github.com/reserve-protocol/protocol,core,,1
alchemix-v3,alchemix-v3,https://github.com/alchemix-finance/v3,core,,1
gearbox-v3,gearbox-v3,https://github.com/Gearbox-protocol/core-v3,core,,1
silo-v2,silo-v2,https://github.com/silo-finance/silo-contracts-v2,core,,1
dolomite,dolomite,https://github.com/dolomite-exchange/dolomite-margin,core,,1
m0,m0,https://github.com/m0-foundation/protocol,core,,1
huma-v2,huma-v2,https://github.com/00labs/huma-contracts-v2,core,,1
derive-v2,derive-v2,https://github.com/derivexyz/v2-core,core,,1
kelp,kelp,https://github.com/Kelp-DAO/LRT-rsETH,core,,1
renzo,renzo,https://github.com/Renzo-Protocol/contracts-public,core,,1
puffer,puffer,https://github.com/PufferFinance/pufETH,core,,1
liquid-collective,liquid-collective,https://github.com/liquid-collective/liquid-collective-protocol,core,,1
stader-ethx,stader-ethx,https://github.com/stader-labs/ethx,core,,1
nodedao,nodedao,https://github.com/NodeDAO/NodeDAO-Protocol,core,,1
frax-eth,frax-eth,https://github.com/FraxFinance/frxETH-public,core,,1
cap,cap,https://github.com/capfina/protocol,core,,1
